Item,WordA,WordB,OverallFreq,RelFreq,Sentence,first_word_index,alpha_order,BinomFreq,Binomial,Word1,Word2,group,Asked_about_first_or_second
1,abandon,fervor,188,0,The violinist played with abandon and fervor even though he had just recovered from an accident.,5,1,0,abandon and fervor,abandon,fervor,1,1
2,ability,age,12237,0.09528479202,"They questioned his ability and age in the interview, which he thought was unfair.",4,1,1166,ability and age,ability,age,1,2
4,ability,strength,20058,0.2068501346,Lisa had the ability and strength to become a professional athlete.,4,1,4149,ability and strength,ability,strength,1,1
7,acknowledgment,authentication,0,0,The system needs to go through procedures for acknowledgment and authentication before carrying out the order.,9,1,0,acknowledgment and authentication,acknowledgment,authentication,1,2
14,adventure,romance,22627,0.3756132055,The movie had a great balance of adventure and romance which made it a great success.,8,1,8499.000001,adventure and romance,adventure,romance,1,1
16,agencies,individuals,20024,0.5303136237,Many different agencies and individuals worked together on this project.,3,1,10619,agencies and individuals,agencies,individuals,1,2
17,aggression,hostility,17481,0.3591899777,"Sasha felt aggression and hostility towards her brother, so she tried to avoid him.",3,1,6279,aggression and hostility,aggression,hostility,1,1
19,aims,backgrounds,130,0.3615384615,Participants with widely varying aims and backgrounds gathered in Rome for the conference.,5,1,47,aims and backgrounds,aims,backgrounds,1,2
21,allegory,expressiveness,0,0,This little anecdote was selected mainly for allegory and expressiveness in the opening speech.,8,1,0,allegory and expressiveness,allegory,expressiveness,1,1
22,amateurs,collectors,577,0.5528596187,The fossil hand book for amateurs and collectors alike is one of the best selling books in the store.,6,1,319,amateurs and collectors,amateurs,collectors,1,2
26,ambition,poverty,354,0.3192090395,The pressures of ambition and poverty burdened Lawrence to a great extent.,4,1,113,ambition and poverty,ambition,poverty,1,1
27,ambush,death,232,1,"Throughout the targeted cities, fear of ambush and death was spread by the terrorists.",7,1,232,ambush and death,ambush,death,1,2
29,amusement,pride,896,0.4162946429,The moderator of the panel grinned with amusement and pride as the speaker indicated pity for the unfortunate .,8,1,373,amusement and pride,amusement,pride,1,1
30,anger,anxiety,19277,0.4224205011,Anne felt anger and anxiety whenever she was stuck in traffic.,3,1,8143,anger and anxiety,anger,anxiety,1,2
37,anthropologist,engineer,0,0,Our rural development team headed by a renowned anthropologist and engineer arrived at the destination last week.,9,1,0,anthropologist and engineer,anthropologist,engineer,1,1
38,anthropology,psychology,16325,0.5429709035,He has figured out that anthropology and psychology are the subjects he wants to study in college.,6,1,8864,anthropology and psychology,anthropology,psychology,1,2
39,anxiety,hazards,0,0,In order to deal with the situation's anxiety and hazards the honeymooners had a thorough conversation before the trip.,8,1,0,anxiety and hazards,anxiety,hazards,1,1
40,appliances,cosmetics,43,1,Salesmen in appliances and cosmetics are the best in the department store.,3,1,43,appliances and cosmetics,appliances,cosmetics,1,2
41,apprehension,fear,19096,0.2492144952,Charlie felt apprehension and fear before jumping out of the plane to skydive.,3,1,4759,apprehension and fear,apprehension,fear,1,1
42,apprenticeship,learning,228,0.4254385965,We need to get back to apprenticeship and learning instead of trying to figure out everything by ourselves.,7,1,97,apprenticeship and learning,apprenticeship,learning,1,2
43,aqueducts,tombs,167,0.7125748503,Ashely was so impressed by the aqueducts and tombs that she extended her stay in Rome.,7,1,119,aqueducts and tombs,aqueducts,tombs,1,1
44,arms,hands,194013,0.4528098633,Both Chelsea's arms and hands are scraped up from falling off her bike.,3,1,87851.00001,arms and hands,arms,hands,1,2
45,arms,legs,667976,0.8369926464,Sandra broke her arms and legs because she got into a bike accident.,4,1,559091,arms and legs,arms,legs,1,1
46,arrows,crosses,143,0.5734265734,"In the chart, a series of nodes are connected by arrows and crosses to denote the lineage of the breed .",11,1,82,arrows and crosses,arrows,crosses,1,2
49,arts,sciences,618850,0.9544574614,"Carol couldn't decide between arts and sciences when applying for college majors, so she chose an interdisciplinary route.",5,1,590666,arts and sciences,arts,sciences,1,1
50,aspirations,dignity,214,0.5140186916,The Rule of Law should be employed to ensure that an individual's aspirations and dignity are repected in society.,13,1,110,aspirations and dignity,aspirations,dignity,1,2
52,attitude,culture,921,0.3811074919,The author sincerely wanted to tap the real springs of American attitude and culture regardless of how unpopular and embarrassing they may be.,12,1,351,attitude and culture,attitude,culture,1,1
54,attractions,repulsions,12897,0.9523144917,He experienced both attractions and repulsions which made him very confused.,4,1,12282,attractions and repulsions,attractions,repulsions,1,2
55,aunt,uncle,165376,0.6382667376,"Over the summer, Steve stayed with his aunt and uncle at their vacation home near the beach.",8,1,105554,aunt and uncle,aunt,uncle,1,1
56,austerity,denial,221,0,Before committing himself to a life of austerity and denial he never managed to succeed.,8,1,0,austerity and denial,austerity,denial,1,2
59,bale,box,198,0.4292929293,"Montero had set up a strong position, using every bale and box in addition to barricades.",10,1,85,bale and box,bale,box,1,1
60,bankers,friends,140,0.5,A series of conferences with bankers and friends began about this time to discuss this issue.,6,1,70,bankers and friends,bankers,friends,1,2
63,barriers,stakes,0,0,"After placing barriers and stakes all around, the residents of the town were confident of their defense against any attack.",3,1,0,barriers and stakes,barriers,stakes,1,1
64,beech,horse-chestnut,0,0,The shelter is as much a part of my landscape as the beech and horse-chestnut trees that grow on the ridge .,13,1,0,beech and horse-chestnut,beech,horse-chestnut,1,2
